pid,sawa2,line,offwrist,activity,marker,whitelight,redlight,greenlight,bluelight,wake,interval,starth,day,dayofweek,validday,time
29915385,1,124,0,158,0,2252.29,122,214,96.2,1,ACTIVE,0,0,3,0,11:45:30
29915385,1,125,0,208,0,8411.53,593,770,331,1,ACTIVE,0,0,3,0,11:46:00
29915385,1,126,0,416,0,1176.55,79.2,110,38.7,1,ACTIVE,0,0,3,0,11:46:30
29915385,1,127,0,788,0,788.03,38.7,77.5,22.1,1,ACTIVE,0,0,3,0,11:47:00
29915385,1,128,0,867,0,626.11,31.9,61,19.4,1,ACTIVE,0,0,3,0,11:47:30
29915385,1,129,0,238,0,460.68,52.4,37.9,11.8,1,ACTIVE,0,0,3,0,11:48:00
29915385,1,130,0,537,0,384.12,27.4,35.5,11.5,1,ACTIVE,0,0,3,0,11:48:30
29915385,1,131,0,176,0,898,44.1,88.2,25.7,1,ACTIVE,0,0,3,0,11:49:00
29915385,1,132,0,4,0,657.16,47.1,62.4,6.28,1,ACTIVE,0,0,3,0,11:49:30
29915385,1,133,0,764,0,694.14,47.1,66.6,6.56,1,ACTIVE,0,0,3,0,11:50:00
29915385,1,134,0,416,0,148.72,12,13.7,2.04,1,ACTIVE,0,0,3,0,11:50:30
29915385,1,135,0,238,0,112.63,7.47,10.6,3.35,1,ACTIVE,0,0,3,0,11:51:00
29915385,1,136,0,378,0,253.66,16.6,23.5,9.89,1,ACTIVE,0,0,3,0,11:51:30
29915385,1,137,0,416,0,2.25,0.316,0.176,0.0046,1,ACTIVE,0,0,3,0,11:52:00
29915385,1,138,0,403,0,21.61,0.837,2.17,0.674,1,ACTIVE,0,0,3,0,11:52:30
29915385,1,139,0,592,0,16.92,1.21,1.57,0.457,1,ACTIVE,0,0,3,0,11:53:00
29915385,1,140,0,202,0,286.21,22.1,26.2,7.15,1,ACTIVE,0,0,3,0,11:53:30
29915385,1,141,0,170,0,241.97,20.7,21.6,6.7,1,ACTIVE,0,0,3,0,11:54:00
29915385,1,142,0,163,0,970.58,59.7,90.1,45.1,1,ACTIVE,0,0,3,0,11:54:30
29915385,1,143,0,223,0,1806.05,63.7,180,79.2,1,ACTIVE,0,0,3,0,11:55:00
29915385,1,144,0,342,0,2296.98,110,224,86.3,1,ACTIVE,0,0,3,0,11:55:30
29915385,1,145,0,208,0,1125.5,52.4,110,46.1,1,ACTIVE,0,0,3,0,11:56:00
29915385,1,146,0,290,0,759.29,35.5,74.2,28.6,1,ACTIVE,0,0,3,0,11:56:30
29915385,1,147,0,115,0,1384.74,52.4,139,47.1,1,ACTIVE,0,0,3,0,11:57:00
29915385,1,148,0,310,0,283.12,31.2,24,3.28,1,ACTIVE,0,0,3,0,11:57:30
29915385,1,149,0,128,0,848.12,37.9,82.7,37.1,1,ACTIVE,0,0,3,0,11:58:00
29915385,1,150,0,195,0,1478.62,69.5,142,74.2,1,ACTIVE,0,0,3,0,11:58:30
29915385,1,151,0,112,0,663.14,42.2,62.4,21.6,1,ACTIVE,0,0,3,0,11:59:00
29915385,1,152,0,123,0,973.07,39.6,96.2,39.6,1,ACTIVE,0,0,3,0,11:59:30
29915385,1,153,0,195,0,1084.38,44.1,107,44.1,1,ACTIVE,0,1,3,1,12:00:00
29915385,1,154,0,189,0,1371.42,66.6,133,53.6,1,ACTIVE,0,1,3,1,12:00:30
29915385,1,155,0,123,0,1295.59,66.6,125,51.3,1,ACTIVE,0,1,3,1,12:01:00
29915385,1,156,0,5,0,1223.33,66.6,117,48.1,1,ACTIVE,0,1,3,1,12:01:30
29915385,1,157,0,79,0,1171.61,43.2,117,48.1,1,ACTIVE,0,1,3,1,12:02:00
29915385,1,158,0,46,0,1050.09,47.1,103,43.2,1,ACTIVE,0,1,3,1,12:02:30
29915385,1,159,0,30,0,1050.09,47.1,103,43.2,1,ACTIVE,0,1,3,1,12:03:00
29915385,1,160,0,9,0,950.75,46.1,92.1,38.7,1,ACTIVE,0,1,3,1,12:03:30
29915385,1,161,0,0,0,781.28,43.2,74.2,33.3,1,ACTIVE,0,1,3,1,12:04:00
29915385,1,162,0,58,0,857.88,36.3,84.5,34.8,1,ACTIVE,0,1,3,1,12:04:30
29915385,1,163,0,163,0,1087.23,37.9,110,40.4,1,ACTIVE,0,1,3,1,12:05:00
29915385,1,164,0,4,0,904.14,40.4,88.2,38.7,1,ACTIVE,0,1,3,1,12:05:30
29915385,1,165,0,0,0,861.31,37.1,84.5,36.3,1,ACTIVE,0,1,3,1,12:06:00
29915385,1,166,0,13,0,848.47,39.6,82.7,34,1,ACTIVE,0,1,3,1,12:06:30
29915385,1,167,0,46,0,1022.28,44.1,100,41.3,1,ACTIVE,0,1,3,1,12:07:00
29915385,1,168,0,264,0,766.99,40.4,74.2,25.7,1,ACTIVE,0,1,3,1,12:07:30
29915385,1,169,0,4,0,1454.98,66.6,142,58.4,1,ACTIVE,0,1,3,1,12:08:00
29915385,1,170,0,128,0,643.3,34.8,62.4,18.5,1,ACTIVE,0,1,3,1,12:08:30
29915385,1,171,0,89,0,1011.82,42.2,100,35.5,1,ACTIVE,0,1,3,1,12:09:00
29915385,1,172,0,68,0,1136.83,47.1,112,48.1,1,ACTIVE,0,1,3,1,12:09:30
29915385,1,173,0,41,0,1182.56,47.1,117,50.2,1,ACTIVE,0,1,3,1,12:10:00
29915385,1,174,0,41,0,1231.56,47.1,122,53.6,1,ACTIVE,0,1,3,1,12:10:30
29915385,1,175,0,34,0,1182.56,47.1,117,50.2,1,ACTIVE,0,1,3,1,12:11:00
29915385,1,176,0,76,0,1206.18,47.1,119,51.3,1,ACTIVE,0,1,3,1,12:11:30
29915385,1,177,0,27,0,1593.93,61,158,66.6,1,ACTIVE,0,1,3,1,12:12:00
29915385,1,178,0,27,0,1581.39,69.5,155,65.1,1,ACTIVE,0,1,3,1,12:12:30
29915385,1,179,0,8,0,1389.84,49.1,139,58.4,1,ACTIVE,0,1,3,1,12:13:00
29915385,1,180,0,61,0,1402.23,66.6,136,58.4,1,ACTIVE,0,1,3,1,12:13:30
29915385,1,181,0,138,0,1278.12,59.7,125,49.1,1,ACTIVE,0,1,3,1,12:14:00
29915385,1,182,0,1,0,1260.13,53.6,125,45.1,1,ACTIVE,0,1,3,1,12:14:30
29915385,1,183,0,16,0,2001.89,90.1,197,74.2,1,ACTIVE,0,1,3,1,12:15:00
29915385,1,184,0,89,0,1601.58,66.6,158,62.4,1,ACTIVE,0,1,3,1,12:15:30
29915385,1,185,0,51,0,2073.86,88.2,205,74.2,1,ACTIVE,0,1,3,1,12:16:00
29915385,1,186,0,71,0,527.99,30.5,50.2,18.9,1,ACTIVE,0,1,3,1,12:16:30
29915385,1,187,0,123,0,207.34,12.6,19.8,5.76,1,ACTIVE,0,1,3,1,12:17:00
29915385,1,188,0,189,0,714,25.7,72.6,19.8,1,ACTIVE,0,1,3,1,12:17:30
29915385,1,189,0,56,0,953.51,29.9,96.2,41.3,1,ACTIVE,0,1,3,1,12:18:00
29915385,1,190,0,0,0,1070.8,47.1,105,44.1,1,ACTIVE,0,1,3,1,12:18:30
29915385,1,191,0,51,0,833.76,41.3,80.9,31.2,1,ACTIVE,0,1,3,1,12:19:00
29915385,1,192,0,4,0,1085.67,46.1,107,41.3,0,ACTIVE,0,1,3,1,12:19:30
29915385,1,193,0,4,0,1017.19,42.2,100,40.4,0,ACTIVE,0,1,3,1,12:20:00
29915385,1,194,0,0,0,1048.09,47.1,103,41.3,0,ACTIVE,0,1,3,1,12:20:30
29915385,1,195,0,1,0,791.79,43.2,75.8,29.9,0,ACTIVE,0,1,3,1,12:21:00
29915385,1,196,0,37,0,728.75,34.8,71,27.4,1,ACTIVE,0,1,3,1,12:21:30
29915385,1,197,0,100,0,742.04,34,72.6,28.6,1,ACTIVE,0,1,3,1,12:22:00
29915385,1,198,0,0,0,1068.77,47.1,105,42.2,1,ACTIVE,0,1,3,1,12:22:30
29915385,1,199,0,68,0,944.64,44.1,92.1,37.1,1,ACTIVE,0,1,3,1,12:23:00
29915385,1,200,0,85,0,1359.21,61,133,53.6,1,ACTIVE,0,1,3,1,12:23:30
29915385,1,201,0,41,0,1453.02,63.7,142,62.4,1,ACTIVE,0,1,3,1,12:24:00
29915385,1,202,0,38,0,959.82,40.4,94.1,42.2,1,ACTIVE,0,1,3,1,12:24:30
29915385,1,203,0,34,0,1019.14,42.2,100,42.2,1,ACTIVE,0,1,3,1,12:25:00
29915385,1,204,0,0,0,817.85,41.3,79.2,30.5,0,ACTIVE,0,1,3,1,12:25:30
29915385,1,205,0,43,0,419.58,22.1,40.4,15.3,1,ACTIVE,0,1,3,1,12:26:00
29915385,1,206,0,11,0,853.67,34.8,84.5,34,1,ACTIVE,0,1,3,1,12:26:30
29915385,1,207,0,46,0,829.89,39.6,80.9,31.2,1,ACTIVE,0,1,3,1,12:27:00
29915385,1,208,0,4,0,1042.53,44.1,103,42.2,1,ACTIVE,0,1,3,1,12:27:30
29915385,1,209,0,56,0,1023.27,44.1,100,42.2,1,ACTIVE,0,1,3,1,12:28:00
29915385,1,210,0,66,0,1761.05,79.2,173,68,1,ACTIVE,0,1,3,1,12:28:30
29915385,1,211,0,0,0,1042.53,44.1,103,42.2,0,ACTIVE,0,1,3,1,12:29:00
29915385,1,212,0,0,0,1042.53,44.1,103,42.2,0,ACTIVE,0,1,3,1,12:29:30
29915385,1,213,0,0,0,1042.53,44.1,103,42.2,0,ACTIVE,0,1,3,1,12:30:00
29915385,1,214,0,0,0,1042.53,44.1,103,42.2,0,ACTIVE,0,1,3,1,12:30:30
29915385,1,215,0,1,0,1042.53,44.1,103,42.2,0,ACTIVE,0,1,3,1,12:31:00
29915385,1,216,0,4,0,1069.77,47.1,105,43.2,0,ACTIVE,0,1,3,1,12:31:30
29915385,1,217,0,0,0,1069.77,47.1,105,43.2,1,ACTIVE,0,1,3,1,12:32:00
29915385,1,218,0,89,0,1050.09,47.1,103,43.2,1,ACTIVE,0,1,3,1,12:32:30
29915385,1,219,0,100,0,1198.8,56,117,47.1,1,ACTIVE,0,1,3,1,12:33:00
29915385,1,220,0,158,0,1006.78,46.1,98.3,40.4,1,ACTIVE,0,1,3,1,12:33:30
29915385,1,221,0,32,0,400.85,28.6,37.1,11.8,1,ACTIVE,0,1,3,1,12:34:00
29915385,1,222,0,93,0,393.36,31.2,35.5,12.3,1,ACTIVE,0,1,3,1,12:34:30
29915385,1,223,0,85,0,194.55,19.4,16.6,5.51,1,ACTIVE,0,1,3,1,12:35:00
29915385,1,224,0,66,0,261.91,19.4,24,7.8,1,ACTIVE,0,1,3,1,12:35:30
29915385,1,225,0,153,0,1424.94,61,139,66.6,1,ACTIVE,0,1,3,1,12:36:00
29915385,1,226,0,68,0,353.47,17,34.8,10.6,1,ACTIVE,0,1,3,1,12:36:30
29915385,1,227,0,119,0,946.43,44.1,92.1,38.7,1,ACTIVE,0,1,3,1,12:37:00
29915385,1,228,0,76,0,300.34,19.8,28,10.6,1,ACTIVE,0,1,3,1,12:37:30
29915385,1,229,0,13,0,216.1,16.6,19.8,5.51,1,ACTIVE,0,1,3,1,12:38:00
29915385,1,230,0,6,0,301.11,19.8,28,11.3,1,ACTIVE,0,1,3,1,12:38:30
29915385,1,231,0,18,0,543.98,31.9,51.3,22.1,1,ACTIVE,0,1,3,1,12:39:00
29915385,1,232,0,23,0,281.98,21.1,25.7,9.68,1,ACTIVE,0,1,3,1,12:39:30
29915385,1,233,0,4,0,518.62,33.3,49.1,13.4,0,ACTIVE,0,1,3,1,12:40:00
29915385,1,234,0,10,0,275.42,20.2,25.1,9.89,0,ACTIVE,0,1,3,1,12:40:30
29915385,1,235,0,0,0,105.04,7.8,9.68,2.76,0,ACTIVE,0,1,3,1,12:41:00
29915385,1,236,0,0,0,105.1,7.8,9.68,2.82,0,ACTIVE,0,1,3,1,12:41:30
29915385,1,237,0,15,0,134.65,11.5,12,3.57,1,ACTIVE,0,1,3,1,12:42:00
29915385,1,238,0,53,0,574.69,31.9,54.8,22.5,1,ACTIVE,0,1,3,1,12:42:30
29915385,1,239,0,231,0,1334.21,49.1,133,54.8,1,ACTIVE,0,1,3,1,12:43:00
29915385,1,240,0,123,0,1038.44,41.3,103,44.1,1,ACTIVE,0,1,3,1,12:43:30
29915385,1,241,0,79,0,2391.31,105,234,103,1,ACTIVE,0,1,3,1,12:44:00
29915385,1,242,0,153,0,1804.2,63.7,180,77.5,1,ACTIVE,0,1,3,1,12:44:30
29915385,1,243,0,93,0,304.41,23.5,27.4,11.5,1,ACTIVE,0,1,3,1,12:45:00
29915385,1,244,0,108,0,1206.8,39.6,122,46.1,1,ACTIVE,0,1,3,1,12:45:30
29915385,1,245,0,39,0,2154.44,84.5,214,82.7,1,ACTIVE,0,1,3,1,12:46:00
29915385,1,246,0,37,0,1173.64,56,114,44.1,1,ACTIVE,0,1,3,1,12:46:30
29915385,1,247,0,0,0,1894.24,84.5,184,86.3,1,ACTIVE,0,1,3,1,12:47:00
29915385,1,248,0,74,0,1894.24,84.5,184,86.3,1,ACTIVE,0,1,3,1,12:47:30
29915385,1,249,0,51,0,1079.86,39.6,107,49.1,1,ACTIVE,0,1,3,1,12:48:00
29915385,1,250,0,68,0,656.33,36.3,62.4,27.4,1,ACTIVE,0,1,3,1,12:48:30
29915385,1,251,0,48,0,1004.92,46.1,98.3,38.7,1,ACTIVE,0,1,3,1,12:49:00
29915385,1,252,0,108,0,660.22,40.4,62.4,22.5,1,ACTIVE,0,1,3,1,12:49:30
29915385,1,253,0,24,0,323.12,22.5,29.9,10.8,1,ACTIVE,0,1,3,1,12:50:00
29915385,1,254,0,53,0,1225.51,43.2,122,56,1,ACTIVE,0,1,3,1,12:50:30
29915385,1,255,0,61,0,979.51,33.3,98.3,41.3,1,ACTIVE,0,1,3,1,12:51:00
29915385,1,256,0,66,0,254.71,18.1,23.5,7.8,1,ACTIVE,0,1,3,1,12:51:30
29915385,1,257,0,19,0,505.54,28.6,48.1,19.4,1,ACTIVE,0,1,3,1,12:52:00
29915385,1,258,0,34,0,1292.07,52.4,127,54.8,1,ACTIVE,0,1,3,1,12:52:30
29915385,1,259,0,71,0,1233.69,49.1,122,51.3,1,ACTIVE,0,1,3,1,12:53:00
29915385,1,260,0,100,0,986.65,48.1,96.2,34.8,1,ACTIVE,0,1,3,1,12:53:30
29915385,1,261,0,79,0,860.46,37.1,84.5,35.5,1,ACTIVE,0,1,3,1,12:54:00
29915385,1,262,0,19,0,512.03,29.2,48.1,24,1,ACTIVE,0,1,3,1,12:54:30
29915385,1,263,0,148,0,1582.94,69.5,155,66.6,1,ACTIVE,0,1,3,1,12:55:00
29915385,1,264,0,89,0,1137.99,48.1,112,47.1,1,ACTIVE,0,1,3,1,12:55:30
29915385,1,265,0,238,0,3062.34,148,297,125,1,ACTIVE,0,1,3,1,12:56:00
29915385,1,266,0,310,0,3152.85,133,310,133,1,ACTIVE,0,1,3,1,12:56:30
